epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,18533.8,1.26005,0.80939,1.29658,0.86629,0.74833,0.80836,0.47973,1.4142,0.85775,1.36326,0.004258,0.004258,0.004258
60,18847.6,1.26347,0.8196,1.28995,0.85115,0.7551,0.80649,0.48273,1.39959,0.85284,1.34631,0.004159,0.004159,0.004159
61,19161.1,1.26251,0.7957,1.30037,0.82803,0.77409,0.80004,0.47911,1.41148,0.86914,1.361,0.00406,0.00406,0.00406
62,19474.9,1.25279,0.80133,1.28533,0.85681,0.76938,0.80797,0.48149,1.40307,0.84547,1.35691,0.003961,0.003961,0.003961
63,19788,1.24734,0.79617,1.28462,0.85378,0.79043,0.80616,0.48478,1.39924,0.83908,1.34502,0.003862,0.003862,0.003862
64,20101.7,1.23962,0.7931,1.28338,0.85055,0.76651,0.81265,0.48913,1.40203,0.82489,1.35415,0.003763,0.003763,0.003763
65,20415.1,1.23542,0.77421,1.27816,0.86078,0.75789,0.80681,0.48884,1.41178,0.82381,1.36364,0.003664,0.003664,0.003664
66,20728.9,1.23637,0.78201,1.27564,0.85733,0.77129,0.80726,0.48907,1.39392,0.82761,1.35068,0.003565,0.003565,0.003565
67,21043.6,1.23298,0.77943,1.27479,0.83742,0.78373,0.8081,0.49181,1.38342,0.82407,1.34701,0.003466,0.003466,0.003466
68,21357.2,1.22654,0.77468,1.26997,0.83579,0.79426,0.81242,0.49253,1.39948,0.83868,1.35716,0.003367,0.003367,0.003367
69,21670.7,1.21764,0.76343,1.26114,0.85488,0.76665,0.81252,0.4903,1.40242,0.84283,1.35905,0.003268,0.003268,0.003268
70,21983.9,1.20689,0.75284,1.26089,0.85157,0.77321,0.8114,0.48491,1.40466,0.83903,1.35497,0.003169,0.003169,0.003169
71,22297.6,1.20217,0.75235,1.26176,0.8556,0.77512,0.81222,0.48732,1.3889,0.82483,1.34701,0.00307,0.00307,0.00307
72,22611.2,1.19642,0.74531,1.2548,0.83963,0.78852,0.81099,0.4886,1.39494,0.82097,1.35103,0.002971,0.002971,0.002971
73,22924.5,1.19268,0.74081,1.24694,0.84109,0.78506,0.81148,0.49161,1.39248,0.81795,1.3458,0.002872,0.002872,0.002872
74,23237.6,1.19511,0.73726,1.24932,0.84734,0.78611,0.81407,0.49075,1.38163,0.81588,1.34396,0.002773,0.002773,0.002773
75,23550.6,1.19528,0.74143,1.24708,0.84911,0.78623,0.8137,0.49437,1.37333,0.80815,1.34046,0.002674,0.002674,0.002674
76,23863.4,1.18766,0.73554,1.24626,0.8494,0.79139,0.8147,0.49738,1.37639,0.80831,1.34902,0.002575,0.002575,0.002575
77,24176.3,1.17494,0.7236,1.23702,0.84714,0.78491,0.81434,0.49775,1.37427,0.80509,1.34183,0.002476,0.002476,0.002476
78,24489.5,1.17972,0.72499,1.23884,0.83329,0.8036,0.81376,0.49505,1.37027,0.8047,1.33981,0.002377,0.002377,0.002377
79,24802,1.16299,0.72127,1.23566,0.84853,0.78182,0.81354,0.49921,1.37415,0.79973,1.34014,0.002278,0.002278,0.002278
80,25115.8,1.15191,0.70055,1.22807,0.84668,0.7866,0.81491,0.49626,1.38213,0.80213,1.34256,0.002179,0.002179,0.002179
81,25428.9,1.15231,0.71594,1.23034,0.84639,0.78756,0.81454,0.49602,1.38755,0.80164,1.34465,0.00208,0.00208,0.00208
82,25741.8,1.15563,0.7019,1.21989,0.86918,0.77416,0.81037,0.49722,1.37927,0.8048,1.33998,0.001981,0.001981,0.001981
83,26055,1.14567,0.70446,1.21914,0.86312,0.77843,0.81013,0.49722,1.384,0.81122,1.34865,0.001882,0.001882,0.001882
84,26368.5,1.14191,0.69844,1.22018,0.86492,0.77608,0.81167,0.49601,1.37782,0.80193,1.34323,0.001783,0.001783,0.001783
85,26681.2,1.1409,0.68462,1.21517,0.86615,0.78643,0.81623,0.50047,1.36904,0.7935,1.33522,0.001684,0.001684,0.001684
86,26995.8,1.12787,0.68444,1.21277,0.87025,0.78182,0.81376,0.49802,1.36934,0.79573,1.33612,0.001585,0.001585,0.001585
87,27308.8,1.12402,0.67663,1.20625,0.85589,0.79043,0.81466,0.4977,1.37116,0.79673,1.33828,0.001486,0.001486,0.001486
88,27622.3,1.11771,0.6741,1.20394,0.85434,0.7933,0.81129,0.49797,1.37013,0.79353,1.33757,0.001387,0.001387,0.001387
89,27935.7,1.1174,0.67127,1.20599,0.85827,0.78812,0.81425,0.49752,1.37712,0.79418,1.34016,0.001288,0.001288,0.001288
90,28248.7,1.11971,0.67084,1.20439,0.84642,0.8067,0.81514,0.49858,1.37829,0.79743,1.34039,0.001189,0.001189,0.001189
91,28534.8,1.097,0.58133,1.2063,0.85901,0.79874,0.8159,0.49849,1.37212,0.79298,1.34045,0.00109,0.00109,0.00109
92,28819.9,1.07894,0.56792,1.20001,0.86404,0.79669,0.81602,0.49993,1.36525,0.78798,1.33949,0.000991,0.000991,0.000991
93,29105.8,1.07132,0.56266,1.19186,0.85961,0.79904,0.81578,0.49928,1.3648,0.78934,1.34309,0.000892,0.000892,0.000892
94,29391.6,1.05316,0.55883,1.18055,0.86306,0.79426,0.81765,0.5023,1.36329,0.79178,1.3446,0.000793,0.000793,0.000793
95,29677,1.05192,0.55121,1.18019,0.86569,0.79568,0.81774,0.4995,1.36317,0.7934,1.34466,0.000694,0.000694,0.000694
96,29962.1,1.03733,0.54032,1.1658,0.86329,0.79767,0.81774,0.50224,1.35992,0.79535,1.34319,0.000595,0.000595,0.000595
97,30247.5,1.03366,0.53793,1.16677,0.86298,0.8,0.81695,0.50323,1.35921,0.79629,1.34214,0.000496,0.000496,0.000496
98,30533.5,1.02049,0.53255,1.15891,0.86461,0.80056,0.81953,0.50351,1.35978,0.7959,1.34127,0.000397,0.000397,0.000397
99,30819,1.01957,0.53051,1.16061,0.86946,0.79674,0.81827,0.50403,1.36308,0.79748,1.34514,0.000298,0.000298,0.000298
100,31104.8,1.00985,0.52799,1.15546,0.86974,0.79866,0.81893,0.50325,1.36375,0.79626,1.34633,0.000199,0.000199,0.000199
